Recipe Name,Ingredients,Allergy?,Potential Allergy,Type
Beef and Broccoli,"beef, vegetable oil, soy sauce",Yes,vegetable oil,Unknown
Cabbage Rolls,"cabbage, olive oil, ground meat, rice",Yes,"cabbage, olive oil, rice","Cruciferous Allergy, Unknown, Rice Allergy"
Caramel Apple,"apples, caramel",No,,
Sweet Potato Fries,"sweet potatoes, vegetable oil, salt, paprika",Yes,vegetable oil,Unknown
Beef Chili,"ground beef, chili powder",No,,
Pesto Chicken,"chicken, pesto sauce",Yes,chicken,Poultry Allergy
Beef Burritos,"ground beef, vegetable oil, taco seasoning",Yes,vegetable oil,Unknown
Chicken Shawarma,"chicken, olive oil, shawarma spices",Yes,"chicken, olive oil","Poultry Allergy, Unknown"
Stuffed Mushrooms,"mushrooms, garlic, herbs",Yes,garlic,Allium Allergy
Zucchini Noodles,"zucchini, olive oil, garlic, herbs",Yes,"garlic, olive oil","Allium Allergy, Unknown"
Sweet and Sour Chicken,"chicken, sugar, vegetable oil, pineapple, bell peppers",Yes,"chicken, pineapple, sugar, vegetable oil","Poultry Allergy, Oral Allergy Syndrome, Sugar Allergy / Intolerance, Unknown"
Beef Kabobs,"beef, olive oil, seasonings",Yes,olive oil,Unknown
Tomato Bruschetta,"tomatoes, olive oil, garlic, basil",Yes,"garlic, olive oil","Allium Allergy, Unknown"
Quinoa Stuffed Peppers,"quinoa, olive oil, vegetables, spices",Yes,olive oil,Unknown
Veggie Omelette,"mixed vegetables, olive oil, salt, pepper",Yes,olive oil,Unknown
Ratatouille,"vegetables, olive oil, herbs, garlic",Yes,"garlic, olive oil","Allium Allergy, Unknown"
Beef Tacos,"beef, vegetable oil, taco seasoning",Yes,vegetable oil,Unknown
Quinoa Salad,"quinoa, olive oil, lemon juice, vegetables",Yes,olive oil,Unknown
Buffalo Wings,"chicken wings, vegetable oil, buffalo sauce",Yes,vegetable oil,Unknown
Stuffed Cabbage Rolls,"cabbage, olive oil, ground meat, rice",Yes,"cabbage, olive oil, rice","Cruciferous Allergy, Unknown, Rice Allergy"
Orange Chicken,"chicken, vegetable oil, orange sauce",Yes,"chicken, vegetable oil","Poultry Allergy, Unknown"
Honey Mustard Chicken,"chicken, honey, olive oil, mustard, herbs",Yes,"chicken, honey, olive oil","Poultry Allergy, Honey Allergy, Unknown"
Lentil Salad,"lentils, olive oil, lemon juice, vegetables",Yes,olive oil,Unknown
Cilantro Lime Chicken,"chicken, olive oil, cilantro, lime",Yes,"chicken, lime, olive oil","Poultry Allergy, Citrus Allergy, Unknown"
Ratatouille Pizza,"pizza dough, olive oil, ratatouille vegetables",Yes,olive oil,Unknown
Chicken Curry,"chicken, coconut milk, curry powder",Yes,chicken,Poultry Allergy
Pesto Pasta Salad,"pasta, pesto sauce, tomatoes, vegetables",No,,
Beef and Mushroom Stir-Fry,"beef, vegetable oil, soy sauce",Yes,vegetable oil,Unknown
Tofu Curry,"tofu, coconut milk, curry paste",No,,
Greek Moussaka,"eggplant, olive oil, ground meat, potatoes",Yes,olive oil,Unknown
Brussels Sprouts,"brussels sprouts, olive oil, balsamic glaze",Yes,"brussels sprouts, olive oil","Cruciferous Allergy, Unknown"
Baked Chicken Wings,"chicken wings, olive oil, seasonings",Yes,olive oil,Unknown
Mango Coconut Popsicles,"mango, sugar, coconut milk",Yes,"mango, sugar","Oral Allergy Syndrome, Sugar Allergy / Intolerance"
Ratatouille Pasta,"pasta, olive oil, ratatouille vegetables",Yes,olive oil,Unknown
Chicken Noodle Soup,"chicken, vegetable oil, noodles, vegetables",Yes,"chicken, vegetable oil","Poultry Allergy, Unknown"
Mango Salsa,"mango, lime juice, cilantro",Yes,mango,Oral Allergy Syndrome
Spinach Salad,"spinach, olive oil, balsamic vinaigrette",Yes,"olive oil, spinach","Unknown, Histamine Allergy"
Caramelized Onions,"onions, sugar, butter",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Strawberry Spinach Salad,"spinach, strawberries, vinaigrette",Yes,spinach,Histamine Allergy
Ratatouille Tart,"vegetables, olive oil, puff pastry, herbs",Yes,olive oil,Unknown
Honey Glazed Carrots,"carrots, honey, butter",Yes,"butter, honey","Milk allergy / Lactose intolerance, Honey Allergy"
Cucumber Salad,"cucumbers, olive oil, vinegar, herbs",Yes,olive oil,Unknown
Greek Lemon Potatoes,"potatoes, olive oil, lemon juice, herbs",Yes,olive oil,Unknown
Stuffed Tomatoes,"tomatoes, herbs, breadcrumbs",No,,
Lemon Pepper Chicken,"chicken, olive oil, lemon pepper seasoning",Yes,"chicken, olive oil","Poultry Allergy, Unknown"
Chicken Shawarma,"chicken, olive oil, shawarma seasoning",Yes,"chicken, olive oil","Poultry Allergy, Unknown"
Lemon Herb Roasted Chicken,"chicken, olive oil, lemon, herbs",Yes,"chicken, lemon, olive oil","Poultry Allergy, Citrus Allergy, Unknown"
Greek Lemon Chicken,"chicken, olive oil, lemon juice, herbs",Yes,"chicken, olive oil","Poultry Allergy, Unknown"
Roasted Brussels Sprouts,"brussels sprouts, olive oil, balsamic glaze",Yes,"brussels sprouts, olive oil","Cruciferous Allergy, Unknown"
Beef Burritos,"beef, vegetable oil, burrito seasoning",Yes,vegetable oil,Unknown
Raspberry Spinach Salad,"spinach, raspberries, vinaigrette",Yes,spinach,Histamine Allergy
Chicken and Rice Soup,"chicken, vegetable oil, rice, vegetables",Yes,"chicken, rice, vegetable oil","Poultry Allergy, Rice Allergy, Unknown"
Vegetable Curry,"mixed vegetables, coconut milk, curry paste",No,,
Ratatouille,"vegetables, olive oil, herbs",Yes,olive oil,Unknown
Biryani,"rice, ghee, biryani masala, spices",Yes,rice,Rice Allergy
Chole Bhature,"chickpeas, sugar, ghee, chole masala, spices",Yes,sugar,Sugar Allergy / Intolerance
Masala Dosa,"rice, oil, potato masala, spices",Yes,rice,Rice Allergy
Samosa,"potatoes, ghee, spices",No,,
Aloo Gobi,"potatoes, oil, cauliflower, spices",Yes,cauliflower,Cruciferous Allergy
Chicken Biryani,"chicken, ghee, basmati rice, spices",Yes,chicken,Poultry Allergy
Vada Pav,"potato, oil, pav bun, chutney",Yes,potato,Potato Allergy
Pani Puri,"semolina, tamarind, spiced water, chutney",No,,
Rajma Chawal,"kidney beans, ghee, spices",No,,
Chicken Curry,"chicken, oil, curry spices",Yes,chicken,Poultry Allergy
Vegetable Biryani,"mixed vegetables, ghee, basmati rice, spices",No,,
Chana Masala,"chickpeas, oil, masala spices",No,,
Paniyaram,"fermented batter, oil, mustard seeds, curry leaves",No,,
Pav Bhaji,"mixed vegetables, butter, pav bread, spices",Yes,butter,Milk allergy / Lactose intolerance
Hyderabadi Biryani,"basmati rice, ghee, meat/vegetables, spices",No,,
Dosa,"rice, oil, potato masala, chutney",Yes,rice,Rice Allergy
Chole Kulche,"chickpeas, ghee, kulcha bread, spices",No,,
Gobi Manchurian,"cauliflower, oil, manchurian sauce",Yes,cauliflower,Cruciferous Allergy
Mutton Biryani,"mutton, ghee, basmati rice, spices",No,,
Oatmeal,"oats, sugar, milk, cinnamon",Yes,"milk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Chicken Satay,"chicken, peanut butter, soy sauce",Yes,chicken,Poultry Allergy
Peanut Butter,"peanuts, sugar, vegetable oil, salt",Yes,"sugar, vegetable oil","Sugar Allergy / Intolerance, Unknown"
Chicken Satay,"chicken, peanut oil, satay sauce, spices",Yes,chicken,Poultry Allergy
Pesto Chicken,"chicken, olive oil, pesto sauce",Yes,"chicken, olive oil","Poultry Allergy, Unknown"
Zucchini Noodles with Pesto,"zucchini, olive oil, pesto sauce",Yes,olive oil,Unknown
Rice Pudding,"rice, sugar, milk, cinnamon, raisins",Yes,"milk, rice, sugar","Milk allergy / Lactose intolerance, Rice Allergy, Sugar Allergy / Intolerance"
Shrimp Scampi,"shrimp, butter, garlic, lemon",Yes,"butter, garlic, lemon","Milk allergy / Lactose intolerance, Allium Allergy, Citrus Allergy"
Shrimp Scampi Pasta,"shrimp, butter, garlic, lemon",Yes,"butter, garlic, lemon","Milk allergy / Lactose intolerance, Allium Allergy, Citrus Allergy"
Garlic Shrimp,"shrimp, olive oil, garlic",Yes,"garlic, olive oil","Allium Allergy, Unknown"
Lemon Garlic Shrimp,"shrimp, olive oil, lemon juice, garlic",Yes,"garlic, olive oil","Allium Allergy, Unknown"
Prawn Biryani,"prawns, ghee, basmati rice, spices",No,,
Lobster Bisque,"lobster, butter, cream, brandy",Yes,"butter, cream","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Caesar Shrimp Skewers,"shrimp, olive oil, caesar dressing",Yes,olive oil,Unknown
Prawn Curry,"prawns, coconut milk, curry spices",No,,
Lobster Roll,"lobster, mayonnaise, celery, lemon juice",Yes,celery,Hypersensitivity
Bacon-Wrapped Shrimp,"shrimp, bacon, seasonings",No,,
Shrimp Fried Rice,"shrimp, vegetable oil, soy sauce",Yes,vegetable oil,Unknown
Soy Milk,"soybeans, sugar, emulsifiers",Yes,sugar,Sugar Allergy / Intolerance
Tofu Stir-Fry,"tofu, vegetable oil, soy sauce",Yes,vegetable oil,Unknown
Miso Soup,"miso paste, tofu, seaweed",No,,
Tofu Scramble,"tofu, vegetable oil, turmeric, spices",Yes,vegetable oil,Unknown
Chicken Teriyaki,"chicken, soy sauce, honey, ginger",Yes,"chicken, ginger, honey","Poultry Allergy, Histamine Allergy, Honey Allergy"
Teriyaki Beef,"beef, soy sauce, teriyaki sauce, vegetables",No,,
Sushi Rolls,"sushi rice, soy sauce, nori (seaweed), fish",No,,
Wheat Bread,"wheat flour, salt",No,,
Zucchini Bread,"zucchini, sugar, vegetable oil, flour",Yes,"sugar, vegetable oil","Sugar Allergy / Intolerance, Unknown"
Chicken Noodle Casserole,"chicken, butter, noodles, vegetables",Yes,"butter, chicken","Milk allergy / Lactose intolerance, Poultry Allergy"
Onion Rings,"onions, vegetable oil, flour",Yes,vegetable oil,Unknown
Chicken Pot Pie,"chicken, butter, vegetables, pastry",Yes,"butter, chicken","Milk allergy / Lactose intolerance, Poultry Allergy"
Grilled Portobello Mushroom Burger,"portobello mushrooms, burger bun, vegetables",No,,
Aloo Paratha,"potatoes, ghee, wheat flour, spices",No,,
Oatmeal Raisin Cookies,"oats, sugar, butter, flour",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Pancakes,"flour, sugar, butter, baking powder",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Carrot Cake,"carrots, sugar, vegetable oil, cinnamon",Yes,"sugar, vegetable oil","Sugar Allergy / Intolerance, Unknown"
Blueberry Muffins,"blueberries, sugar, butter, flour",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Chocolate Chip Cookies,"flour, sugar, butter, chocolate chips",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Mushroom Risotto,"arborio rice, butter, mushroom",Yes,butter,Milk allergy / Lactose intolerance
Cinnamon Rolls,"flour, sugar, butter, cinnamon",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Pineapple Upside-Down Cake,"pineapple, sugar, butter, flour",Yes,"butter, pineapple, sugar","Milk allergy / Lactose intolerance, Oral Allergy Syndrome, Sugar Allergy / Intolerance"
Apple Pie,"apples, sugar, butter, cinnamon",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Banana Bread,"bananas, sugar, butter, flour",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Vanilla Cupcakes,"flour, sugar, butter, vanilla extract",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Apple Crisp,"apples, sugar, butter, cinnamon",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Pasta Carbonara,"pasta, bacon, egg, parmesan cheese",No,,
Blueberry Pancakes,"flour, sugar, butter, blueberries",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Lemon Bars,"flour, sugar, butter, lemon juice",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Pumpkin Pie,"pumpkin, sugar, butter, cinnamon, nutmeg",Yes,"butter, pumpkin, sugar","Milk allergy / Lactose intolerance, Unknown, Sugar Allergy / Intolerance"
Mixed Berry Pie,"mixed berries, sugar, butter, flour",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Garlic Bread,"bread, butter, garlic",Yes,"butter, garlic","Milk allergy / Lactose intolerance, Allium Allergy"
Berry Cobbler,"mixed berries, sugar, butter, flour",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Baked Ziti,"pasta, cheese, tomato sauce",Yes,cheese,Milk allergy / Lactose intolerance
Baked Ziti,"pasta, cheese, tomato sauce",Yes,cheese,Milk allergy / Lactose intolerance
Key Lime Pie,"lime juice, sugar, butter, graham cracker crust",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Lemon Poppy Seed Muffins,"flour, sugar, butter, lemon zest, poppy seeds",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Chicken Quesadilla,"chicken, butter, cheese",Yes,"butter, cheese, chicken","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Poultry Allergy"
Pancake Stack,"flour, sugar, butter, maple syrup",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Strawberry Shortcake,"strawberries, sugar, whipped cream, shortcake",Yes,sugar,Sugar Allergy / Intolerance
Berry Crumble,"mixed berries, sugar, butter, oats, cinnamon",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Raspberry Cheesecake,"cream cheese, sugar, butter, graham cracker crust, raspberries",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Oatmeal Raisin Cookies,"oats, brown sugar, butter, raisins, cinnamon",Yes,butter,Milk allergy / Lactose intolerance
Apple Crisp,"apples, sugar, butter, cinnamon, oats",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Chicken Enchiladas,"chicken, enchilada sauce, cheese, tortillas",Yes,"cheese, chicken","Milk allergy / Lactose intolerance, Poultry Allergy"
Caesar Salad Wrap,"romaine lettuce, caesar dressing, parmesan cheese, croutons",No,,
S'mores,"graham crackers, marshmallows, chocolate",No,,
Tiramisu,"ladyfingers, sugar, mascarpone cheese, coffee, cocoa",Yes,sugar,Sugar Allergy / Intolerance
Cinnamon Rolls,"dough, sugar, butter, cinnamon, icing",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Chicken Caesar Salad,"chicken, caesar dressing, romaine lettuce, croutons",Yes,chicken,Poultry Allergy
Vegetable Lasagna,"vegetables, olive oil, tomato sauce, cheese",Yes,"cheese, olive oil","Milk allergy / Lactose intolerance, Unknown"
Chicken Alfredo Pizza,"pizza dough, chicken, alfredo sauce",Yes,chicken,Poultry Allergy
Caesar Pasta Salad,"pasta, caesar dressing, romaine lettuce, parmesan cheese",No,,
Baked Apple,"apples, sugar, butter, cinnamon, oats",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Apple Pie,"apples, sugar, butter, cinnamon, pastry",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Chicken Parmesan,"chicken, olive oil, tomato sauce, cheese",Yes,"cheese, chicken, olive oil","Milk allergy / Lactose intolerance, Poultry Allergy, Unknown"
Pumpkin Pie,"pumpkin, sugar, butter, pumpkin spice, pastry",Yes,"butter, pumpkin, sugar","Milk allergy / Lactose intolerance, Unknown, Sugar Allergy / Intolerance"
Blueberry Muffins,"flour, sugar, butter, blueberries",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Sausage and Pepper Pizza,"pizza dough, sausage, bell peppers",No,,
Beef Wellington,"beef, butter, mushrooms, puff pastry",Yes,butter,Milk allergy / Lactose intolerance
Baked Ziti,"pasta, tomato sauce, cheese",Yes,cheese,Milk allergy / Lactose intolerance
Jalebi,"flour, sugar, ghee, saffron syrup",Yes,sugar,Sugar Allergy / Intolerance
Butter Naan,"flour, butter",Yes,butter,Milk allergy / Lactose intolerance
Tiramisu,"ladyfingers, sugar, mascarpone cheese, coffee liqueur, cocoa powder",Yes,sugar,Sugar Allergy / Intolerance
Chocolate Cake,"flour, sugar, butter, cocoa powder",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Chocolate Chip Pancakes,"flour, sugar, butter, chocolate chips",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Lemon Bars,"lemon juice, sugar, butter, flour, eggs",Yes,"butter, eggs, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Sugar Allergy / Intolerance"
Pecan Pie,"pecans, sugar, butter, corn syrup",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Zucchini Bread,"zucchini, sugar, butter, cinnamon, nuts",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Banana Bread,"bananas, sugar, butter, cinnamon, nuts",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Hawaiian Pizza,"pizza dough, pineapple, ham",Yes,pineapple,Oral Allergy Syndrome
Unknown,unknown,No,,
